98619c16-de96-4cbf-bbb4-804500434aba.jsonl:4	fire1	/tmp/handoff-clyde-parked-attribution-2026-08-01.md
be68d95d-0303-4a4a-903c-ca4cdcb33d75.jsonl:4	fire1	/tmp/clyde-report-cli-transport-handoff-2026-07-25.md
be68d95d-0303-4a4a-903c-ca4cdcb33d75.jsonl:120	fire1	/tmp/claude-1000/.../scratchpad/handoff-pricing-staleness-gap.md
00f285f3-c37d-4d3b-bd9f-ef61fe7c9d79.jsonl:4	fire1	HANDOFF.md
049209b7-c3a3-4fb7-bfe2-28acedbaacb2.jsonl:2756	fire1	HANDOFF.md
9843d51e-b057-4dbd-b6f8-cbbd04e65c8d.jsonl:4	fire1	/home/saidler/repos/tatari-tv/clyde/main/HANDOFF.md
1b92b261-ec5d-46ca-88f3-2d520fa999f6.jsonl:4	fire1	docs/handoff.md
agent-ac401ce0116669666.jsonl:1	fire1	docs/handoff.md
a7424250-465a-40a6-8526-1671c0da4651.jsonl:4	fire1	docs/handoff.md
88c3e431-c472-4a20-bacc-8eaf0e380ed4.jsonl:7	fire1	/tmp/clyde-ship-handoff.md
1fc571ad-aaf0-4f1d-92c0-a21ae28c2685.jsonl:5	fire1	/tmp/handoff-2026-09-10-marquee-version-stamping-docs-and-otel-traces.md
2823ae16-5e33-4da5-ac7e-77b5d137e5b2.jsonl:4	fire1	/tmp/claude-1000/handoff-2026-08-05-mixin-command-and-probes.md
7ea0dd4b-65e3-4705-9d54-82a313c46672.jsonl:4	fire1	/tmp/claude-1000/handoff-2026-08-05-marquee-mcp-via-backstage.md
cf6df9c6-a492-47ea-8444-b27cca07d2c6.jsonl:7	fire1	/tmp/marquee-handoff-2026-06-25.md
d9d6efb9-09d9-420a-886f-a0d3e7082688.jsonl:5	fire1	CLAUDE_SCRATCHPAD/handoff-mcp-ops-surface.md
f98ec3df-d6a4-4592-88bb-81de7ab8367c.jsonl:5	fire1	/tmp/handoff-2026-09-09-marquee-findability-and-version-stamping.md
1add2933-de6b-4146-953f-fc864bf55b0e.jsonl:4	fire1	docs/cleave-mcp-crate-handoff.md
df4d4b30-5092-4702-9664-258e838ea08e.jsonl:4	fire1	/tmp/claude-1000/-home-saidler-repos-tatari-tv-tatari-skills/28973645-1d2a-4c9e-8554-8d9c482f572a/scratchpad/handoff-git-subdir-phase4-liveverify.md
213b8128-6337-4cd6-b3de-9eeb3032c4b3.jsonl:4	fire1	/tmp/claude-1000/handoff-primary-component-inheritance.md
88188935-f19a-47da-9905-818e4c26b698.jsonl:4	fire1	/tmp/handoff-slack-toolkit-and-token-broker.md
agent-a5b647bfef9cecb48.jsonl:1	fire1	docs/2026-08-15-scheduled-message-lifecycle-handoff.md
agent-a74c9db49bf449a85.jsonl:1	fire1	docs/2026-08-15-scheduled-message-lifecycle-handoff.md
29b9b089-21c6-4158-8774-ee7096ad8c04.jsonl:4	fire1	/tmp/claude-1000/slack-cli-handoff.md
4c44342e-0b4d-4995-8b35-377c2b1c8522.jsonl:5	fire1	/tmp/claude-1000/claude-1000/-home-saidler-repos-tatari-tv-tatari-skills/b28ccb50-b873-4e16-90f9-259152c8a5ef/scratchpad/2026-09-18-run-fixed-tech-spec-review-on-airflow-spec-handoff.md
5c62b46b-a677-404b-beb5-646dc5ee5be3.jsonl:5	fire1	/tmp/claude-1000/claude-1000/-tmp/00938fec-3b63-42df-bbc1-3d603e13da61/scratchpad/HANDOFF-tech-spec-review-fixes.md
7421ffe8-03a6-4827-9a67-da585ace1bd8.jsonl:4	fire1	/tmp/claude-1000/-home-saidler-repos-tatari-tv-tatari-skills/28973645-1d2a-4c9e-8554-8d9c482f572a/scratchpad/handoff-git-subdir-phase4-liveverify.md
7fc6b28b-4de6-4dad-bf56-6b79dc5e74e7.jsonl:1386	fire1	/repos/scottidler/claude/docs/handoff-gh-stack.md
